# Creation Date: 2024-11-16
|   ion |      wave |   1 |     0 |   amplitude |       Source |
|   ArI |  3555.321000 |   1 |     0 |           7 | lbt_mods_ArI |
|   ArI |  3607.551000 |   1 |     0 |           7 | lbt_mods_ArI |
|   ArI |  3771.440000 |   1 |     0 |          20 | lbt_mods_ArI |
|   ArI |  3835.767000 |   1 |     0 |           7 | lbt_mods_ArI |
|   ArI |  3950.097000 |   1 |     0 |          35 | lbt_mods_ArI |
|   ArI |  4045.561000 |   1 |     0 |          50 | lbt_mods_ArI |
|   ArI |  4159.762000 |   1 |     0 |         400 | lbt_mods_ArI |
|   ArI |  4165.354000 |   1 |     0 |          50 | lbt_mods_ArI |
|   ArI |  4183.063000 |   1 |     0 |          50 | lbt_mods_ArI |
|   ArI |  4191.894000 |   1 |     0 |         100 | lbt_mods_ArI |
|   ArI |  4201.858000 |   1 |     0 |         400 | lbt_mods_ArI |
|   ArI |  4252.382000 |   1 |     0 |          25 | lbt_mods_ArI |
|   ArI |  4260.561000 |   1 |     0 |         200 | lbt_mods_ArI |
|   ArI |  4267.487000 |   1 |     0 |         100 | lbt_mods_ArI |
|   ArI |  4273.371000 |   1 |     0 |         150 | lbt_mods_ArI |
|   ArI |  4301.311000 |   1 |     0 |         100 | lbt_mods_ArI |
|   ArI |  4334.779000 |   1 |     0 |         100 | lbt_mods_ArI |
|   ArI |  4336.557000 |   1 |     0 |          50 | lbt_mods_ArI |
|   ArI |  4346.390000 |   1 |     0 |          25 | lbt_mods_ArI |
|   ArI |  4511.998000 |   1 |     0 |         100 | lbt_mods_ArI |
|   ArI |  4523.591000 |   1 |     0 |          20 | lbt_mods_ArI |
|   ArI |  5163.723000 |   1 |     0 |          15 | lbt_mods_ArI |
|   ArI |  5189.191000 |   1 |     0 |          20 | lbt_mods_ArI |
|   ArI |  5497.401000 |   1 |     0 |          25 | lbt_mods_ArI |
|   ArI |  5560.246000 |   1 |     0 |          25 | lbt_mods_ArI |
|   ArI |  5608.290000 |   1 |     0 |          35 | lbt_mods_ArI |
|   ArI |  5652.272000 |   1 |     0 |          20 | lbt_mods_ArI |
|   ArI |  5890.216000 |   1 |     0 |          25 | lbt_mods_ArI |
|   ArI |  5913.723000 |   1 |     0 |          50 | lbt_mods_ArI |
|   ArI |  6033.797000 |   1 |     0 |          70 | lbt_mods_ArI |
|   ArI |  6044.896000 |   1 |     0 |          35 | lbt_mods_ArI |
|   ArI |  6061.050000 |   1 |     0 |          20 | lbt_mods_ArI |
|   ArI |  6386.482000 |   1 |     0 |          20 | lbt_mods_ArI |
|   ArI |  6418.081000 |   1 |     0 |          70 | lbt_mods_ArI |
|   ArI |  6679.126000 |   1 |     0 |         100 | lbt_mods_ArI |
|   ArI |  6754.698000 |   1 |     0 |         150 | lbt_mods_ArI |
|   ArI |  6873.185000 |   1 |     0 |         150 | lbt_mods_ArI |
|   ArI |  6939.578000 |   1 |     0 |          50 | lbt_mods_ArI |
|   ArI |  6967.352000 |   1 |     0 |       10000 | lbt_mods_ArI |
|   ArI |  7032.190000 |   1 |     0 |         150 | lbt_mods_ArI |
