# Creation Date: 2024-11-16
|   ion |      wave |   1 |     0 |   amplitude |       Source |
|   NeI |  5039.156000 |   1 |     0 |        5000 | lbt_mods_NeI |
|   NeI |  5332.260300 |   1 |     0 |        6000 | lbt_mods_NeI |
|   NeI |  5342.579400 |   1 |     0 |       10000 | lbt_mods_NeI |
|   NeI |  5402.063100 |   1 |     0 |       20000 | lbt_mods_NeI |
|   NeI |  5564.311000 |   1 |     0 |        5000 | lbt_mods_NeI |
|   NeI |  5658.228700 |   1 |     0 |        5000 | lbt_mods_NeI |
|   NeI |  5720.811400 |   1 |     0 |        5000 | lbt_mods_NeI |
|   NeI |  5749.892900 |   1 |     0 |        5000 | lbt_mods_NeI |
|   NeI |  5766.017500 |   1 |     0 |        7000 | lbt_mods_NeI |
|   NeI |  5806.059000 |   1 |     0 |        5000 | lbt_mods_NeI |
|   NeI |  5821.769400 |   1 |     0 |        5000 | lbt_mods_NeI |
|   NeI |  5854.110100 |   1 |     0 |       20000 | lbt_mods_NeI |
|   NeI |  5874.455200 |   1 |     0 |        5000 | lbt_mods_NeI |
|   NeI |  5883.525200 |   1 |     0 |       10000 | lbt_mods_NeI |
|   NeI |  5904.098000 |   1 |     0 |         500 | lbt_mods_NeI |
|   NeI |  5908.066100 |   1 |     0 |         500 | lbt_mods_NeI |
|   NeI |  5946.481000 |   1 |     0 |        5000 | lbt_mods_NeI |
|   NeI |  5967.123500 |   1 |     0 |        5000 | lbt_mods_NeI |
|   NeI |  5976.282300 |   1 |     0 |        5000 | lbt_mods_NeI |
|   NeI |  5977.189500 |   1 |     0 |        6000 | lbt_mods_NeI |
|   NeI |  5989.566000 |   1 |     0 |        1500 | lbt_mods_NeI |
|   NeI |  6031.666600 |   1 |     0 |       10000 | lbt_mods_NeI |
|   NeI |  6076.019300 |   1 |     0 |       10000 | lbt_mods_NeI |
|   NeI |  6097.850600 |   1 |     0 |        3000 | lbt_mods_NeI |
|   NeI |  6130.146000 |   1 |     0 |        1000 | lbt_mods_NeI |
|   NeI |  6144.762900 |   1 |     0 |       10000 | lbt_mods_NeI |
|   NeI |  6165.299400 |   1 |     0 |       10000 | lbt_mods_NeI |
|   NeI |  6183.856600 |   1 |     0 |        1500 | lbt_mods_NeI |
|   NeI |  6219.001300 |   1 |     0 |       10000 | lbt_mods_NeI |
|   NeI |  6268.228500 |   1 |     0 |       10000 | lbt_mods_NeI |
|   NeI |  6306.532900 |   1 |     0 |        1000 | lbt_mods_NeI |
|   NeI |  6329.914400 |   1 |     0 |        3000 | lbt_mods_NeI |
|   NeI |  6336.179100 |   1 |     0 |       10000 | lbt_mods_NeI |
|   NeI |  6384.756000 |   1 |     0 |       10000 | lbt_mods_NeI |
|   NeI |  6404.018000 |   1 |     0 |       20000 | lbt_mods_NeI |
|   NeI |  6508.325500 |   1 |     0 |       15000 | lbt_mods_NeI |
|   NeI |  6534.687200 |   1 |     0 |        1000 | lbt_mods_NeI |
|   NeI |  6600.775400 |   1 |     0 |       10000 | lbt_mods_NeI |
|   NeI |  6653.929400 |   1 |     0 |        1500 | lbt_mods_NeI |
|   NeI |  6680.120500 |   1 |     0 |        5000 | lbt_mods_NeI |
|   NeI |  6718.897400 |   1 |     0 |         700 | lbt_mods_NeI |
|   NeI |  6931.378700 |   1 |     0 |      100000 | lbt_mods_NeI |
|   NeI |  7025.987000 |   1 |     0 |       34000 | lbt_mods_NeI |
|   NeI |  7034.352000 |   1 |     0 |       85000 | lbt_mods_NeI |
|   NeI |  7053.236500 |   1 |     0 |        2200 | lbt_mods_NeI |
|   NeI |  7061.054300 |   1 |     0 |       10000 | lbt_mods_NeI |
|   NeI |  7175.915400 |   1 |     0 |       77000 | lbt_mods_NeI |
|   NeI |  7247.163100 |   1 |     0 |       77000 | lbt_mods_NeI |
|   NeI |  7440.946900 |   1 |     0 |       60000 | lbt_mods_NeI |
|   NeI |  7474.496200 |   1 |     0 |        3100 | lbt_mods_NeI |
|   NeI |  7490.933500 |   1 |     0 |       32000 | lbt_mods_NeI |
|   NeI |  7537.848800 |   1 |     0 |       28000 | lbt_mods_NeI |
|   NeI |  7546.121100 |   1 |     0 |       13000 | lbt_mods_NeI |
|   NeI |  7841.208800 |   1 |     0 |         230 | lbt_mods_NeI |
|   NeI |  7929.297800 |   1 |     0 |         300 | lbt_mods_NeI |
|   NeI |  7939.178900 |   1 |     0 |        1300 | lbt_mods_NeI |
|   NeI |  7945.365400 |   1 |     0 |        7900 | lbt_mods_NeI |
|   NeI |  8084.680100 |   1 |     0 |        5700 | lbt_mods_NeI |
|   NeI |  8120.781800 |   1 |     0 |        3800 | lbt_mods_NeI |
|   NeI |  8131.146100 |   1 |     0 |        1200 | lbt_mods_NeI |
|   NeI |  8138.643200 |   1 |     0 |       17000 | lbt_mods_NeI |
|   NeI |  8261.649800 |   1 |     0 |        3300 | lbt_mods_NeI |
|   NeI |  8268.349100 |   1 |     0 |        7200 | lbt_mods_NeI |
|   NeI |  8302.606200 |   1 |     0 |       29000 | lbt_mods_NeI |
|   NeI |  8368.045500 |   1 |     0 |        4600 | lbt_mods_NeI |
|   NeI |  8379.909300 |   1 |     0 |       76000 | lbt_mods_NeI |
|   NeI |  8420.739800 |   1 |     0 |       26000 | lbt_mods_NeI |
|   NeI |  8465.682400 |   1 |     0 |        3700 | lbt_mods_NeI |
|   NeI |  8486.773600 |   1 |     0 |        1300 | lbt_mods_NeI |
|   NeI |  8497.693200 |   1 |     0 |       69000 | lbt_mods_NeI |
|   NeI |  8547.042700 |   1 |     0 |        1600 | lbt_mods_NeI |
|   NeI |  8573.708200 |   1 |     0 |        2900 | lbt_mods_NeI |
|   NeI |  8593.618400 |   1 |     0 |       41000 | lbt_mods_NeI |
|   NeI |  8637.019000 |   1 |     0 |       35000 | lbt_mods_NeI |
|   NeI |  8649.416400 |   1 |     0 |        6000 | lbt_mods_NeI |
|   NeI |  8656.759900 |   1 |     0 |       64000 | lbt_mods_NeI |
|   NeI |  8657.899500 |   1 |     0 |        7600 | lbt_mods_NeI |
|   NeI |  8681.877500 |   1 |     0 |       13000 | lbt_mods_NeI |
|   NeI |  8684.306200 |   1 |     0 |       15000 | lbt_mods_NeI |
|   NeI |  8706.502800 |   1 |     0 |        2900 | lbt_mods_NeI |
|   NeI |  8774.066400 |   1 |     0 |       10000 | lbt_mods_NeI |
|   NeI |  8783.033600 |   1 |     0 |       57000 | lbt_mods_NeI |
|   NeI |  8786.166000 |   1 |     0 |       43000 | lbt_mods_NeI |
|   NeI |  8833.331600 |   1 |     0 |         550 | lbt_mods_NeI |
|   NeI |  8856.298000 |   1 |     0 |       27000 | lbt_mods_NeI |
|   NeI |  8867.739900 |   1 |     0 |        2100 | lbt_mods_NeI |
|   NeI |  8868.190500 |   1 |     0 |       15000 | lbt_mods_NeI |
|   NeI |  8921.949600 |   1 |     0 |        6400 | lbt_mods_NeI |
|   NeI |  8991.024000 |   1 |     0 |        1800 | lbt_mods_NeI |
|   NeI |  9151.182900 |   1 |     0 |       12000 | lbt_mods_NeI |
|   NeI |  9204.284100 |   1 |     0 |        8900 | lbt_mods_NeI |
|   NeI |  9222.590000 |   1 |     0 |        6000 | lbt_mods_NeI |
|   NeI |  9229.223000 |   1 |     0 |        1800 | lbt_mods_NeI |
|   NeI |  9278.064300 |   1 |     0 |         910 | lbt_mods_NeI |
|   NeI |  9303.405300 |   1 |     0 |        7700 | lbt_mods_NeI |
|   NeI |  9329.066300 |   1 |     0 |        6900 | lbt_mods_NeI |
|   NeI |  9375.879600 |   1 |     0 |        1500 | lbt_mods_NeI |
|   NeI |  9427.965500 |   1 |     0 |        4800 | lbt_mods_NeI |
|   NeI |  9461.806000 |   1 |     0 |        2800 | lbt_mods_NeI |
|   NeI |  9489.284900 |   1 |     0 |        5000 | lbt_mods_NeI |
|   NeI |  9536.779300 |   1 |     0 |        6100 | lbt_mods_NeI |
|   NeI |  9550.024100 |   1 |     0 |        2800 | lbt_mods_NeI |
|   NeI |  9668.070900 |   1 |     0 |       18000 | lbt_mods_NeI |
